task,hash,cost,points,n_nodes,status,ops,dsl_rule
190,7ddcd7ec,2527,17.165211892611808,14,baseline,QLinearConv:5;Cast:2;Slice:1;Split:1;Max:1;Pad:1;MaxPool:1;Mul:1;Where:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = difference(x1, x2) | x4 = first(x3) | x5 = color(x4) | x6 = lbind(position, x4) | x7 = fork(shoot, center, x6) | x8 = mapply(x7, x2) | O = fill(I, x5, x8)"
191,7df24a62,14969,15.386263325084764,67,baseline,Slice:11;Mul:8;Cast:7;Add:5;ArgMax:4;Sub:4;Unsqueeze:4;Transpose:3;ReduceMax:2;Squeeze:2;Pad:2;Gather:2;Less:2;Concat:2;QLinearConv:2;And:1;Reshape:1;ReduceSum:1;Expand:1;Min:1;Max:1;Equal:1,"x1 = height(I) | x2 = width(I) | x3 = ofcolor(I, ONE) | x4 = ofcolor(I, FOUR) | x5 = ulcorner(x3) | x6 = subgrid(x3, I) | x7 = rot90(x6) | x8 = rot180(x6) | x9 = rot270(x6) | x10 = matcher(size, ZERO) | x11 = rbind(ofcolor, ONE) | x12 = compose(normalize, x11) | x13 = rbind(ofcolor, FOUR) | x14 = rb"
192,7e0986d6,8621,15.938043633790075,16,baseline,Where:4;Greater:3;ReduceSum:3;Equal:2;Conv:1;Slice:1;ArgMax:1;Cast:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = replace(I, x1, ZERO) | x4 = leastcolor(x3) | x5 = rbind(colorcount, x4) | x6 = chain(positive, decrement, x5) | x7 = rbind(toobject, x3) | x8 = chain(x6, x7, dneighbors) | x9 = sfilter(x2, x8) | O = fill(x3, x4, x9)"
193,7f4411dc,910,18.186555400489105,1,baseline,Conv:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = rbind(difference, x2) | x4 = rbind(greater, TWO) | x5 = chain(x4, size, x3) | x6 = compose(x5, dneighbors) | x7 = sfilter(x2, x6) | O = fill(I, ZERO, x7)"
194,7fe24cdd,949,18.14459120139007,5,baseline,Slice:1;Cast:1;Reshape:1;Gather:1;Pad:1,"x1 = rot90(I) | x2 = rot180(I) | x3 = rot270(I) | x4 = hconcat(I, x1) | x5 = hconcat(x3, x2) | O = vconcat(x4, x5)"
195,80af3007,921,18.174539963744692,19,baseline,Cast:4;ReduceMax:2;ArgMax:2;Add:2;Gather:2;Unsqueeze:2;Slice:1;And:1;Reshape:1;Where:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = first(x1) | x3 = subgrid(x2, I) | x4 = upscale(x3, THREE) | x5 = hconcat(x3, x3) | x6 = hconcat(x5, x3) | x7 = vconcat(x6, x6) | x8 = vconcat(x7, x6) | x9 = cellwise(x4, x8, ZERO) | O = downscale(x9, THREE)"
196,810b9b61,4538,16.579758334660212,15,baseline,MaxPool:5;Min:4;Slice:1;Cast:1;QLinearConv:1;Less:1;Pad:1;Where:1,"x1 = objects(I, T, T, T) | x2 = apply(toindices, x1) | x3 = fork(either, vline, hline) | x4 = sfilter(x2, x3) | x5 = difference(x2, x4) | x6 = fork(equality, identity, box) | x7 = mfilter(x5, x6) | O = fill(I, THREE, x7)"
197,82819916,2602,17.13596434092755,21,baseline,Concat:4;Cast:4;Slice:3;Transpose:2;Gather:1;ReduceMax:1;Einsum:1;ArgMin:1;Squeeze:1;Add:1;Less:1;ConvInteger:1,"x1 = objects(I, F, T, T) | x2 = argmax(x1, size) | x3 = remove(x2, x1) | x4 = normalize(x2) | x5 = compose(last, last) | x6 = rbind(argmin, x5) | x7 = compose(first, x6) | x8 = fork(other, palette, x7) | x9 = x7(x4) | x10 = matcher(first, x9) | x11 = sfilter(x4, x10) | x12 = difference(x4, x11) | x1"
198,83302e8f,13572,15.48423587409588,82,baseline,Cast:11;Gather:10;Equal:9;Slice:7;Or:6;Mul:6;Greater:5;And:5;Min:3;Sub:3;ReduceSum:2;Reshape:2;Less:2;Sum:2;Add:2;CumSum:2;Conv:1;Mod:1;Div:1;Pad:1;Where:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = sfilter(x2, square) | x4 = difference(x2, x3) | x5 = merge(x3) | x6 = recolor(THREE, x5) | x7 = merge(x4) | x8 = recolor(FOUR, x7) | x9 = paint(I, x6) | O = paint(x9, x8)"
199,834ec97d,1837,17.484110914784875,25,baseline,Where:4;Einsum:3;Cast:3;Div:2;LessOrEqual:2;Equal:2;ReduceSum:1;Add:1;Mul:1;Transpose:1;Mod:1;And:1;Concat:1;ScatterND:1;Pad:1,"x1 = asindices(I) | x2 = objects(I, T, F, T) | x3 = first(x2) | x4 = shift(x3, DOWN) | x5 = fill(I, ZERO, x3) | x6 = paint(x5, x4) | x7 = uppermost(x4) | x8 = leftmost(x4) | x9 = subtract(x8, TEN) | x10 = add(x8, TEN) | x11 = interval(x9, x10, TWO) | x12 = lbind(greater, x7) | x13 = compose(x12, fir"
200,8403a5d5,756,18.37195862382047,11,baseline,Cast:2;Conv:2;Concat:2;Slice:1;Equal:1;Pad:1;ReduceMax:1;Einsum:1,"x1 = asindices(I) | x2 = objects(I, T, F, T) | x3 = first(x2) | x4 = color(x3) | x5 = leftmost(x3) | x6 = interval(x5, TEN, TWO) | x7 = rbind(contained, x6) | x8 = compose(x7, last) | x9 = sfilter(x1, x8) | x10 = increment(x5) | x11 = add(x5, THREE) | x12 = interval(x10, TEN, FOUR) | x13 = interval("
201,846bdb03,4614,16.5631495612663,59,baseline,Where:8;ArgMax:6;LessOrEqual:6;Equal:5;ReduceMax:5;Gather:5;Cast:4;And:4;Pad:3;Slice:2;Sub:2;Add:2;Or:2;Conv:1;Min:1;Concat:1;Greater:1;Max:1,"x1 = objects(I, F, F, T) | x2 = rbind(colorcount, FOUR) | x3 = matcher(x2, ZERO) | x4 = extract(x1, x3) | x5 = remove(x4, x1) | x6 = merge(x5) | x7 = subgrid(x6, I) | x8 = index(x7, DOWN) | x9 = subgrid(x4, I) | x10 = lefthalf(x9) | x11 = palette(x10) | x12 = other(x11, ZERO) | x13 = equality(x8, x1"
202,855e0971,11277,15.669479467767712,22,baseline,Where:6;ReduceMax:5;Equal:4;Cast:2;Greater:2;Conv:1;And:1;ReduceMin:1,"x1 = rot90(I) | x2 = frontiers(I) | x3 = sfilter(x2, hline) | x4 = size(x3) | x6 = positive(x4) | x7 = branch(x6, identity, dmirror) | x8 = x7(I) | x9 = rbind(subgrid, x8) | x10 = matcher(color, ZERO) | x11 = compose(flip, x10) | x12 = partition(x8) | x13 = sfilter(x12, x11) | x14 = rbind(ofcolor, Z"
203,85c4e7cd,409,18.986284843957197,9,baseline,ReduceSum:1;ReduceMax:1;Add:1;Sub:1;Transpose:1;Equal:1;Cast:1;ArgMax:1;Gather:1,"x1 = objects(I, T, F, F) | x2 = compose(invert, size) | x3 = order(x1, size) | x4 = order(x1, x2) | x5 = apply(color, x4) | x6 = mpapply(recolor, x5, x3) | O = paint(I, x6)"
204,868de0fa,11494,15.650419560932313,25,baseline,QLinearConv:9;MaxPool:7;Slice:2;Cast:2;Max:2;Pad:2;Concat:1,"x1 = objects(I, T, F, F) | x2 = sfilter(x1, square) | x3 = compose(even, height) | x4 = sfilter(x2, x3) | x5 = difference(x2, x4) | x6 = merge(x4) | x7 = merge(x5) | x8 = fill(I, TWO, x6) | O = fill(x8, SEVEN, x7)"
205,8731374e,12854,15.538589674068769,70,baseline,Cast:13;Sub:7;ReduceMax:6;Reshape:6;ArgMax:5;Add:5;Mul:5;Equal:3;And:3;Conv:2;QLinearConv:2;GreaterOrEqual:2;Slice:2;Less:2;Greater:2;Concat:1;GridSample:1;Not:1;Or:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = argmax(x1, size) | x3 = subgrid(x2, I) | x4 = height(x3) | x5 = width(x3) | x6 = vsplit(x3, x4) | x7 = lbind(greater, FOUR) | x8 = compose(x7, numcolors) | x9 = sfilter(x6, x8) | x10 = merge(x9) | x11 = rot90(x10) | x12 = vsplit(x11, x5) | x13 = sfilter(x12, x8) | x14"
206,88a10436,4186,16.660499096994055,62,baseline,Cast:11;Unsqueeze:8;Concat:8;ReduceMax:6;ArgMax:4;Squeeze:4;Greater:3;And:3;Add:3;Slice:2;Equal:2;Sub:2;AveragePool:1;Xor:1;Conv:1;Reshape:1;Not:1;ScatterND:1,"x1 = objects(I, F, F, T) | x2 = colorfilter(x1, FIVE) | x3 = first(x2) | x4 = center(x3) | x5 = difference(x1, x2) | x6 = first(x5) | x7 = normalize(x6) | x8 = shift(x7, x4) | x9 = shift(x8, NEG_UNITY) | O = paint(I, x9)"
207,88a62173,236,19.53616819497439,13,baseline,Slice:4;Cast:3;Sum:1;Mod:1;GlobalMaxPool:1;Sub:1;Where:1;Pad:1,"x1 = lefthalf(I) | x2 = righthalf(I) | x3 = tophalf(x1) | x4 = tophalf(x2) | x5 = bottomhalf(x1) | x6 = bottomhalf(x2) | x7 = astuple(x3, x4) | x8 = astuple(x5, x6) | x9 = combine(x7, x8) | O = leastcommon(x9)"
208,890034e9,6083,16.286746725679293,69,baseline,Where:7;Add:7;Cast:6;Equal:6;Sub:5;Unsqueeze:5;ReduceSum:4;Slice:3;ArgMax:3;Less:3;And:3;Concat:2;ReduceMax:2;Or:2;GreaterOrEqual:2;LessOrEqual:2;Greater:1;QLinearConv:1;Reshape:1;TopK:1;Mul:1;Div:1;Mod:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = inbox(x2) | x4 = recolor(ZERO, x3) | x5 = occurrences(I, x4) | x6 = normalize(x2) | x7 = shift(x6, NEG_UNITY) | x8 = lbind(shift, x7) | x9 = mapply(x8, x5) | O = fill(I, x1, x9)"
209,8a004b2b,32197,14.620371440509743,180,baseline,Cast:20;Where:17;Sub:17;And:16;Equal:13;ReduceMax:10;Mul:9;Add:9;ReduceMin:7;GreaterOrEqual:6;LessOrEqual:6;Reshape:6;Div:6;Or:4;MaxPool:4;Clip:4;Gather:4;Slice:3;Not:3;Neg:3;Pad:3;ReduceSum:3;Max:2;Less:2;Conv:1;QLinearConv:1;ArgMax:1,"x1 = objects(I, F, T, T) | x2 = ofcolor(I, FOUR) | x3 = subgrid(x2, I) | x4 = argmax(x1, lowermost) | x5 = normalize(x4) | x6 = replace(x3, FOUR, ZERO) | x7 = objects(x6, T, F, T) | x8 = merge(x7) | x9 = width(x8) | x10 = ulcorner(x8) | x11 = width(x4) | x12 = divide(x9, x11) | x13 = upscale(x5, x12"
210,8be77c9e,30,21.598802618337846,1,baseline,Gather:1,"x1 = hmirror(I) | O = vconcat(I, x1)"
211,8d5021e8,396,19.01858578874552,2,baseline,Slice:1;Einsum:1,"x1 = vmirror(I) | x2 = hconcat(x1, I) | x3 = hmirror(x2) | x4 = vconcat(x2, x3) | x5 = vconcat(x4, x2) | O = hmirror(x5)"
212,8d510a79,2360,17.233583101980344,21,baseline,Slice:4;Cast:4;MaxPool:4;Concat:2;Where:2;ArgMax:1;Less:1;Greater:1;Expand:1;ConvInteger:1,"x1 = ofcolor(I, ONE) | x2 = ofcolor(I, TWO) | x3 = ofcolor(I, FIVE) | x4 = uppermost(x3) | x5 = chain(toivec, decrement, double) | x6 = lbind(greater, x4) | x7 = compose(x6, first) | x8 = chain(invert, x5, x7) | x9 = fork(shoot, identity, x8) | x10 = compose(x5, x7) | x11 = fork(shoot, identity, x10"
213,8e1813be,1886,17.457786536806598,68,baseline,Slice:12;Cast:10;Or:8;Where:8;ReduceSum:6;Greater:6;And:6;Einsum:4;Div:2;Unsqueeze:2;Equal:2;Not:1;Pad:1,"x1 = replace(I, FIVE, ZERO) | x2 = objects(x1, T, T, T) | x3 = first(x2) | x4 = vline(x3) | x5 = branch(x4, dmirror, identity) | x6 = x5(x1) | x7 = objects(x6, T, T, T) | x8 = order(x7, uppermost) | x9 = apply(color, x8) | x10 = dedupe(x9) | x11 = size(x10) | x12 = rbind(repeat, x11) | x13 = apply(x"
214,8e5a5113,767,18.357513198632745,9,baseline,Gather:2;Slice:1;Conv:1;Cast:1;Transpose:1;Concat:1;Equal:1;Pad:1,"x1 = crop(I, ORIGIN, THREE_BY_THREE) | x2 = rot90(x1) | x3 = rot180(x1) | x4 = astuple(x2, x3) | x5 = astuple(FOUR, EIGHT) | x6 = apply(tojvec, x5) | x7 = apply(asobject, x4) | x8 = mpapply(shift, x7, x6) | O = paint(I, x8)"
215,8eb1be9a,750,18.379926793469643,12,baseline,Slice:3;Reshape:2;Where:2;ReduceSum:1;Greater:1;ReduceMax:1;Cast:1;Gather:1,"x1 = objects(I, T, T, T) | x2 = first(x1) | x3 = interval(NEG_TWO, FOUR, ONE) | x4 = lbind(shift, x2) | x5 = height(x2) | x6 = rbind(multiply, x5) | x7 = apply(x6, x3) | x8 = apply(toivec, x7) | x9 = mapply(x4, x8) | O = paint(I, x9)"
216,8efcae92,9127,15.881007667483123,81,baseline,Cast:16;Unsqueeze:10;ArgMax:7;Gather:7;Concat:5;ReduceMax:4;And:4;Sub:4;Slice:2;Equal:2;Less:2;Where:2;LessOrEqual:2;Transpose:2;MatMulInteger:2;Add:2;QLinearConv:1;Flatten:1;ScatterElements:1;Squeeze:1;Div:1;Mod:1;GatherND:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ONE) | x3 = compose(size, delta) | x4 = argmax(x2, x3) | O = subgrid(x4, I)"
217,8f2ea7aa,1470,17.70698232022722,13,baseline,Where:2;Pad:2;Unsqueeze:2;ReduceMax:1;Cast:1;Equal:1;Conv:1;Less:1;And:1;Reshape:1,"x1 = objects(I, T, F, T) | x2 = merge(x1) | x3 = subgrid(x2, I) | x4 = upscale(x3, THREE) | x5 = hconcat(x3, x3) | x6 = hconcat(x5, x3) | x7 = vconcat(x6, x6) | x8 = vconcat(x7, x6) | O = cellwise(x4, x8, ZERO)"
218,90c28cc7,662,18.50473444406299,22,baseline,Cast:5;Conv:3;Where:3;Squeeze:2;TopK:2;Gather:2;Unsqueeze:2;And:1;Equal:1;Pad:1,"x1 = objects(I, F, F, T) | x2 = first(x1) | x3 = subgrid(x2, I) | x4 = dedupe(x3) | x5 = rot90(x4) | x6 = dedupe(x5) | O = rot270(x6)"
219,90f3ed37,18717,15.162812519221104,251,baseline,Unsqueeze:46;Mul:35;Gather:30;ReduceSum:20;Add:17;ArgMax:16;Concat:13;Max:11;Cast:10;Squeeze:9;Sub:9;Pad:8;Slice:7;ReduceMax:7;Equal:6;Min:4;Reshape:2;CumSum:1,"x1 = objects(I, T, T, T) | x2 = order(x1, uppermost) | x3 = first(x2) | x4 = remove(x3, x2) | x5 = normalize(x3) | x6 = lbind(shift, x5) | x7 = compose(x6, ulcorner) | x8 = interval(TWO, NEG_ONE, NEG_ONE) | x9 = apply(tojvec, x8) | x10 = rbind(apply, x9) | x11 = lbind(compose, size) | x12 = lbind(lb"
220,913fb3ed,900,18.197605236675688,1,baseline,Conv:1,"x1 = ofcolor(I, THREE) | x2 = ofcolor(I, EIGHT) | x3 = ofcolor(I, TWO) | x4 = mapply(neighbors, x1) | x5 = mapply(neighbors, x2) | x6 = mapply(neighbors, x3) | x7 = fill(I, SIX, x4) | x8 = fill(x7, FOUR, x5) | O = fill(x8, ONE, x6)"
221,91413438,805,18.309157722581435,24,baseline,Less:4;Concat:4;Cast:4;Sub:3;Equal:2;Slice:1;ReduceSum:1;Div:1;Floor:1;Mul:1;ReduceMax:1;Einsum:1,"x1 = colorcount(I, ZERO) | x2 = subtract(NINE, x1) | x3 = multiply(x1, THREE) | x4 = multiply(x3, x1) | x5 = subtract(x4, THREE) | x6 = astuple(THREE, x5) | x7 = canvas(ZERO, x6) | x8 = hconcat(I, x7) | x9 = objects(x8, T, T, T) | x10 = first(x9) | x11 = lbind(shift, x10) | x12 = compose(x11, tojvec"
222,91714a58,9175,15.87576232707723,28,baseline,MaxPool:9;Equal:5;Cast:4;Add:3;Pad:2;Conv:1;Slice:1;Sub:1;Max:1;Where:1,"x1 = shape(I) | x2 = asindices(I) | x3 = objects(I, T, F, T) | x4 = argmax(x3, size) | x5 = mostcolor(x4) | x6 = canvas(ZERO, x1) | x7 = paint(x6, x4) | x8 = rbind(toobject, x7) | x9 = rbind(colorcount, x5) | x10 = chain(x9, x8, neighbors) | x11 = lbind(greater, THREE) | x12 = compose(x11, x10) | x1"
223,9172f3a0,5,23.3905620875659,1,baseline,MaxRoiPool:1,"O = upscale(I, THREE)"
224,928ad970,2831,17.0516147148881,35,baseline,And:6;ArgMax:4;Cast:4;Greater:4;Less:4;Conv:2;Sign:2;Add:2;Sub:2;Xor:1;Pad:1;ReduceMax:1;Mul:1;Where:1,"x1 = ofcolor(I, FIVE) | x2 = subgrid(x1, I) | x3 = trim(x2) | x4 = leastcolor(x3) | x5 = inbox(x1) | O = fill(I, x4, x5)"
225,93b581b8,1033,18.05977753088036,27,baseline,Add:4;Gather:4;Cast:3;Slice:2;ReduceMin:2;ArgMin:2;Squeeze:2;Unsqueeze:2;Concat:2;Conv:1;Flatten:1;Equal:1;Pad:1,"x1 = fgpartition(I) | x2 = chain(cmirror, dmirror, merge) | x3 = x2(x1) | x4 = upscale(x3, THREE) | x5 = astuple(NEG_TWO, NEG_TWO) | x6 = shift(x4, x5) | x7 = underpaint(I, x6) | x8 = toindices(x3) | x9 = fork(combine, hfrontier, vfrontier) | x10 = mapply(x9, x8) | x11 = difference(x10, x8) | O = fi"
226,941d9a10,1633,17.601825907029536,37,baseline,And:15;Concat:7;Or:3;Slice:2;Cast:2;Not:2;Split:2;Xor:2;Equal:1;Pad:1,"x1 = shape(I) | x2 = objects(I, T, F, F) | x3 = colorfilter(x2, ZERO) | x4 = apply(toindices, x3) | x5 = lbind(lbind, contained) | x6 = lbind(extract, x4) | x7 = compose(x6, x5) | x8 = decrement(x1) | x9 = astuple(FIVE, FIVE) | x10 = x7(ORIGIN) | x11 = x7(x8) | x12 = x7(x9) | x13 = fill(I, ONE, x10)"
227,94f9d214,100,20.394829814011906,1,baseline,Conv:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = ofcolor(x1, ZERO) | x4 = ofcolor(x2, ZERO) | x5 = astuple(FOUR, FOUR) | x6 = canvas(ZERO, x5) | x7 = intersection(x3, x4) | O = fill(x6, TWO, x7)"
228,952a094c,962,18.130985549334294,42,baseline,Cast:15;Where:6;Einsum:2;ReduceMin:2;ReduceMax:2;Equal:2;ArgMax:2;ArgMin:2;Sub:2;Add:2;Greater:1;Less:1;Concat:1;Gather:1;ScatterND:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = argmax(x1, size) | x4 = outbox(x3) | x5 = corners(x4) | x6 = lbind(rbind, manhattan) | x7 = lbind(argmax, x2) | x8 = chain(x7, x6, initset) | x9 = compose(color, x8) | x10 = fork(astuple, x9, identity) | x11 = apply(x10, x5) | x12 = merge(x2"
229,9565186b,240,19.519361076658008,11,baseline,Cast:3;ReduceSum:1;ArgMax:1;Concat:1;Add:1;Slice:1;Where:1;Equal:1;Pad:1,"x1 = shape(I) | x2 = objects(I, T, F, F) | x3 = argmax(x2, size) | x4 = canvas(FIVE, x1) | O = paint(x4, x3)"
230,95990924,900,18.197605236675688,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = apply(outbox, x1) | x3 = apply(ulcorner, x2) | x4 = apply(urcorner, x2) | x5 = apply(llcorner, x2) | x6 = apply(lrcorner, x2) | x7 = fill(I, ONE, x3) | x8 = fill(x7, TWO, x4) | x9 = fill(x8, THREE, x5) | O = fill(x9, FOUR, x6)"
231,963e52fc,219,19.6109282701835,6,baseline,Slice:1;ReduceSum:1;Less:1;Where:1;Concat:1;Gather:1,"x1 = width(I) | x2 = asobject(I) | x3 = hperiod(x2) | x4 = height(x2) | x5 = astuple(x4, x3) | x6 = ulcorner(x2) | x7 = crop(I, x6, x5) | x8 = rot90(x7) | x9 = double(x1) | x10 = divide(x9, x3) | x11 = increment(x10) | x12 = repeat(x8, x11) | x13 = merge(x12) | x14 = rot270(x13) | x15 = astuple(x4, "
232,97999447,1410,17.748655016627787,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = apply(toindices, x1) | x3 = rbind(shoot, RIGHT) | x4 = compose(x3, center) | x5 = fork(recolor, color, x4) | x6 = mapply(x5, x1) | x7 = paint(I, x6) | x8 = interval(ZERO, FIVE, ONE) | x9 = apply(double, x8) | x10 = apply(increment, x9) | x11 = apply(tojvec, x10) | x12"
233,97a05b5b,51068,14.159086643059759,339,baseline,Cast:47;Where:40;Reshape:29;Equal:27;And:23;Add:22;Less:18;Gather:16;ReduceSum:15;ReduceMin:14;Sub:11;Div:9;Mul:8;Abs:8;Not:8;Or:8;Min:8;Mod:5;Greater:4;ArgMax:3;Conv:2;QLinearConv:2;TopK:2;ReduceMax:2;LessOrEqual:2;Concat:2;MatMul:1;MaxPool:1;ScatterND:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = argmax(x1, size) | x3 = subgrid(x2, I) | x4 = rbind(greater, ONE) | x5 = compose(x4, numcolors) | x6 = sfilter(x1, x5) | x7 = lbind(rbind, subtract) | x8 = switch(x3, TWO, ZERO) | x9 = lbind(occurrences, x8) | x10 = lbind(lbind, shift) | x11 = compose(x7, ulcorner) | "
234,98cf29f8,6849,16.168142064802094,111,baseline,Where:22;Cast:17;Gather:12;Sub:11;Add:8;And:7;ArgMax:6;LessOrEqual:6;GreaterOrEqual:4;Greater:3;Less:3;Unsqueeze:3;ReduceMax:2;ReduceSum:1;Slice:1;Mul:1;Or:1;Div:1;Pad:1;Equal:1,"x1 = fgpartition(I) | x2 = fork(multiply, height, width) | x3 = fork(equality, size, x2) | x4 = extract(x1, x3) | x5 = other(x1, x4) | x6 = color(x5) | x7 = rbind(greater, THREE) | x8 = rbind(toobject, I) | x9 = rbind(colorcount, x6) | x10 = chain(x8, ineighbors, last) | x11 = chain(x7, x9, x10) | x"
235,995c5fa3,170,19.864201562949738,4,baseline,GatherND:1;MatMul:1;Equal:1;Pad:1,"x1 = hsplit(I, THREE) | x2 = astuple(TWO, ONE) | x3 = rbind(ofcolor, ZERO) | x4 = compose(ulcorner, x3) | x5 = compose(size, x3) | x6 = matcher(x5, ZERO) | x7 = matcher(x4, UNITY) | x8 = matcher(x4, DOWN) | x9 = matcher(x4, x2) | x10 = rbind(multiply, THREE) | x11 = power(double, TWO) | x12 = compos"
236,99b1bc43,237,19.531939858864867,5,baseline,Slice:2;Equal:1;Where:1;Pad:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = ofcolor(x1, ZERO) | x4 = ofcolor(x2, ZERO) | x5 = combine(x3, x4) | x6 = intersection(x3, x4) | x7 = difference(x5, x6) | x8 = shape(x1) | x9 = canvas(ZERO, x8) | O = fill(x9, THREE, x7)"
237,99fa7670,1918,17.440961744556617,37,baseline,Cast:9;Slice:7;Where:6;Pad:4;ReduceMax:3;Conv:1;Mod:1;Less:1;And:1;Concat:1;Xor:1;Unsqueeze:1;Equal:1,"x1 = shape(I) | x2 = objects(I, T, F, T) | x3 = rbind(shoot, RIGHT) | x4 = compose(x3, center) | x5 = fork(recolor, color, x4) | x6 = mapply(x5, x2) | x7 = paint(I, x6) | x8 = add(x1, DOWN_LEFT) | x9 = initset(x8) | x10 = recolor(ZERO, x9) | x11 = objects(x7, T, F, T) | x12 = insert(x10, x11) | x13 "
238,9aec4887,2495,17.17795599181438,56,baseline,Cast:8;Where:6;Einsum:6;ArgMax:4;Unsqueeze:4;Equal:4;Mul:4;Concat:3;And:3;Gather:3;Add:2;Pad:2;ArgMin:2;ReduceSum:1;ReduceMax:1;Sub:1;Slice:1;Greater:1,"x1 = objects(I, F, T, T) | x2 = argmin(x1, numcolors) | x3 = other(x1, x2) | x4 = subgrid(x3, I) | x5 = normalize(x2) | x6 = shift(x5, UNITY) | x7 = toindices(x6) | x8 = normalize(x3) | x9 = lbind(argmin, x8) | x11 = lbind(rbind, manhattan) | x12 = rbind(compose, initset) | x13 = chain(x12, x11, ini"
239,9af7a82c,947,18.146700906813923,16,baseline,Sub:3;Concat:2;Where:2;ReduceSum:1;TopK:1;Cast:1;Gather:1;Greater:1;Unsqueeze:1;Equal:1;Pad:1;Less:1,"x1 = objects(I, T, F, F) | x2 = order(x1, size) | x3 = valmax(x1, size) | x4 = rbind(astuple, ONE) | x5 = lbind(subtract, x3) | x6 = compose(x4, size) | x7 = chain(x4, x5, size) | x8 = fork(canvas, color, x6) | x9 = lbind(canvas, ZERO) | x10 = compose(x9, x7) | x11 = fork(vconcat, x8, x10) | x12 = c"
240,9d9215db,191797,12.835807199983865,28,REPAIRED,MaxPool:7;ArgMax:7;Cast:7;Concat:6;Equal:1,"x1 = rot90(I) | x2 = rot180(I) | x3 = rot270(I) | x4 = initset(I) | x5 = chain(numcolors, lefthalf, tophalf) | x6 = insert(x1, x4) | x7 = insert(x2, x6) | x8 = insert(x3, x7) | x9 = argmax(x8, x5) | x10 = vmirror(x9) | x11 = papply(pair, x9, x10) | x12 = lbind(apply, maximum) | x13 = apply(x12, x11)"
241,9dfd6313,0,25.0,1,baseline,Transpose:1,O = dmirror(I)
242,9ecd008a,432,18.93157441175589,8,baseline,Einsum:2;Sub:1;Concat:1;Cast:1;Add:1;Slice:1;Pad:1,"x1 = vmirror(I) | x2 = ofcolor(I, ZERO) | O = subgrid(x2, x1)"
243,9edfc990,22652,14.971996572766304,63,baseline,Where:29;QLinearConv:28;Cast:3;Slice:2;Pad:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = ofcolor(I, ONE) | x4 = rbind(adjacent, x3) | x5 = mfilter(x2, x4) | x6 = recolor(ONE, x5) | O = paint(I, x6)"
244,9f236235,1179,17.92757809946263,27,baseline,Slice:6;ReduceMax:5;ArgMax:2;Cast:2;Gather:2;Expand:2;Equal:1;Reshape:1;Less:1;And:1;Sum:1;Concat:1;GridSample:1;Pad:1,"x1 = compress(I) | x2 = objects(I, T, F, F) | x3 = vmirror(x1) | x4 = valmin(x2, width) | O = downscale(x3, x4)"
245,a1570a43,2743,17.083192509062396,28,baseline,Cast:5;ReduceMax:4;ArgMax:4;Sub:4;Slice:3;Squeeze:2;Gather:2;Or:1;Xor:1;Concat:1;Pad:1,"x1 = ofcolor(I, TWO) | x2 = ofcolor(I, THREE) | x3 = recolor(TWO, x1) | x4 = ulcorner(x2) | x5 = ulcorner(x1) | x6 = subtract(x4, x5) | x7 = increment(x6) | O = move(I, x3, x7)"
246,a2fd1cf0,2753,17.079553494857393,28,baseline,Slice:4;And:4;Conv:2;TopK:2;Cast:2;Min:2;Max:2;Equal:2;Greater:2;Less:2;Or:2;Pad:1;Where:1,"x1 = ofcolor(I, TWO) | x2 = ofcolor(I, THREE) | x3 = uppermost(x1) | x4 = leftmost(x1) | x5 = uppermost(x2) | x6 = leftmost(x2) | x7 = astuple(x3, x5) | x8 = minimum(x7) | x9 = maximum(x7) | x10 = astuple(x8, x6) | x11 = astuple(x9, x6) | x12 = connect(x10, x11) | x13 = astuple(x4, x6) | x14 = minim"
247,a3325580,470,18.847267305295894,12,baseline,Einsum:1;Slice:1;TopK:1;ReduceMax:1;Sub:1;Greater:1;LessOrEqual:1;Cast:1;Where:1;Equal:1;And:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = valmax(x1, size) | x3 = sizefilter(x1, x2) | x4 = order(x3, leftmost) | x5 = apply(color, x4) | x6 = astuple(ONE, x2) | x7 = rbind(canvas, x6) | x8 = apply(x7, x5) | x9 = merge(x8) | O = dmirror(x9)"
